size,status,ff_time_s,wall_time_s,plan_length
2,solved,0.00,0.9584,7
3,solved,0.00,0.9409,11
4,solved,0.00,0.9850,14
5,solved,0.00,1.0764,17
6,solved,0.00,0.9790,22
7,solved,0.00,0.9958,24
8,solved,0.00,0.9299,26
9,solved,0.00,0.9479,34
10,solved,0.00,1.0180,34
11,solved,0.00,1.1025,38
12,solved,0.01,0.9936,41
13,solved,0.01,1.0441,44
14,solved,0.02,0.9867,52
15,solved,0.06,0.9524,52
16,solved,0.03,0.9651,54
17,solved,0.06,1.0525,60
18,solved,0.10,1.0986,64
19,solved,0.15,1.1441,68
20,solved,0.43,1.4580,63
21,solved,0.26,1.2340,75
22,solved,0.44,1.4724,76
23,solved,0.57,1.5640,75
24,solved,0.50,1.5135,86
25,solved,0.93,2.0368,98
26,solved,0.88,1.8472,96
27,solved,0.87,1.9422,100
28,solved,1.94,3.1220,100
29,solved,1.34,2.4186,104
30,solved,2.53,3.7529,108
31,solved,1.76,2.8821,116
32,solved,2.77,3.9351,120
33,solved,2.79,3.9453,118
34,solved,5.59,6.9537,128
35,solved,4.80,6.1698,124
36,solved,4.97,6.3169,130
37,solved,8.26,9.8838,134
38,solved,36.02,40.0569,125
39,solved,7.85,9.5720,142
40,solved,48.48,53.6780,131
41,solved,11.95,14.8942,150
42,solved,13.54,16.6274,152
43,solved,28.90,33.2619,158
44,solved,41.80,47.3502,164
45,solved,26.06,30.2359,169
46,solved,45.72,51.6256,170
47,solved,17.78,21.2711,176
48,solved,50.14,56.5332,182
49,solved,36.53,41.6392,185
50,timeout,,70.4410,
51,timeout,,70.2657,
52,solved,45.76,50.6284,184
53,solved,41.12,46.6410,200
54,timeout,,70.0777,
55,timeout,,70.0850,
56,timeout,,70.1012,
57,timeout,,70.0735,
58,timeout,,70.9473,
59,timeout,,70.0672,
60,timeout,,70.0715,
